Manufacturer,Model,Age,Gender,Region,Sum,EV/Hybrid available,Car type,Price,Country,advertisement list API,link to list page of Encar.com
Audi,A5,35~39,M,Seoul,747,X,MIDDLE,3605,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.ModelGroup.A5.))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.ModelGroup.A5.)))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
Audi,A7,35~39,M,Seoul,958,X,BIG,5069,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.ModelGroup.A7.))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.ModelGroup.A7.)))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
Audi,NEW A3,35~39,M,Gyeonggi-do,403,X,SMALL/COMPACT,1900,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.(C.ModelGroup.A3._.Model.뉴 A3.)))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.(C.ModelGroup.A3._.Model.뉴 A3.))))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
Audi,New A4,35~39,M,Gyeonggi-do,1144,X,SMALL/COMPACT,2416,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.(C.ModelGroup.A4._.Model.뉴 A4.)))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.(C.ModelGroup.A4._.Model.뉴 A4.))))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
Audi,NEW A6,35~39,M,Gyeonggi-do,2253,O,MIDDLE,3303,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.(C.ModelGroup.A6._.Model.뉴 A6.)))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.(C.ModelGroup.A6._.Model.뉴 A6.))))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
Audi,NEW A8,40~44,M,Gyeonggi-do,617,X,BIG,8016,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.(C.ModelGroup.A8._.Model.뉴 A8.)))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.(C.ModelGroup.A8._.Model.뉴 A8.))))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
Audi,Q5,35~39,M,Gyeonggi-do,564,X,SUV/RV,4117,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.ModelGroup.Q5.))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.아우디._.ModelGroup.Q5.)))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
BMW,1-Series (F20),30~34,M,Gyeonggi-do,707,X,,,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.1시리즈._.Model.1시리즈 (F20_).)))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.1시리즈._.Model.1시리즈 (F20_).))))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
BMW,3-Series,40~44,M,Gyeonggi-do,488,X,,,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3시리즈._.Model.3시리즈.)))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3시리즈._.Model.3시리즈.))))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
BMW,3-Series (E90),35~39,M,Gyeonggi-do,1131,X,,,Germany,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3시리즈._.Model.3시리즈 (E90).)))),"http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!{""action"":""(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3시리즈._.Model.3시리즈 (E90).))))"",""toggle"":{},""layer"":"""",""sort"":""ModifiedDate"",""page"":1,""limit"":20}"
