Manufacturer,Model,Age,Gender,Region,Sum,EV/Hybrid available,advertisement list API,(Ryvuss Query),link to list page of Encar.com,Unnamed: 10,Car type,Price,Country
Audi,A5,35~39,M,Seoul,747,X,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.ModelGroup.A5.))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.ModelGroup.A5.))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.ModelGroup.A5.)))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,MIDDLE,3605,Japan
Audi,A7,35~39,M,Seoul,958,X,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.ModelGroup.A7.))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.ModelGroup.A7.))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.ModelGroup.A7.)))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,BIG,5069,Japan
Audi,NEW A3,35~39,M,Gyeonggi-do,403,X,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A3._.Model.ë‰´ A3.)))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A3._.Model.ë‰´ A3.)))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A3._.Model.ë‰´ A3.))))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,SMALL/COMPACT,1900,Japan
Audi,New A4,35~39,M,Gyeonggi-do,1144,X,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A4._.Model.ë‰´ A4.)))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A4._.Model.ë‰´ A4.)))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A4._.Model.ë‰´ A4.))))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,SMALL/COMPACT,2416,Japan
Audi,NEW A6,35~39,M,Gyeonggi-do,2253,O,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A6._.Model.ë‰´ A6.)))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A6._.Model.ë‰´ A6.)))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A6._.Model.ë‰´ A6.))))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,MIDDLE,3303,Japan
Audi,NEW A8,40~44,M,Gyeonggi-do,617,X,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A8._.Model.ë‰´ A8.)))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A8._.Model.ë‰´ A8.)))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.(C.ModelGroup.A8._.Model.ë‰´ A8.))))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,BIG,8016,Japan
Audi,Q5,35~39,M,Gyeonggi-do,564,X,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.ModelGroup.Q5.))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.ModelGroup.Q5.))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.ì•„ìš°ë””._.ModelGroup.Q5.)))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,SUV/RV,4117,Japan
BMW,1-Series (F20),30~34,M,Gyeonggi-do,707,X,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.1ì‹œë¦¬ì¦ˆ._.Model.1ì‹œë¦¬ì¦ˆ (F20_).)))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.1ì‹œë¦¬ì¦ˆ._.Model.1ì‹œë¦¬ì¦ˆ (F20_).)))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.1ì‹œë¦¬ì¦ˆ._.Model.1ì‹œë¦¬ì¦ˆ (F20_).))))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,,,Japan
BMW,3-Series,40~44,M,Gyeonggi-do,488,X,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3ì‹œë¦¬ì¦ˆ._.Model.3ì‹œë¦¬ì¦ˆ.)))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3ì‹œë¦¬ì¦ˆ._.Model.3ì‹œë¦¬ì¦ˆ.)))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3ì‹œë¦¬ì¦ˆ._.Model.3ì‹œë¦¬ì¦ˆ.))))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,,,Japan
BMW,3-Series (E90),35~39,M,Gyeonggi-do,1131,X,http://api.encar.com/search/car/list/premium?count=true&sr=|ModifiedDate|0|5&q=(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3ì‹œë¦¬ì¦ˆ._.Model.3ì‹œë¦¬ì¦ˆ (E90).)))),(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3ì‹œë¦¬ì¦ˆ._.Model.3ì‹œë¦¬ì¦ˆ (E90).)))),http://www.encar.com/fc/fc_carsearchlist.do?carType=for&searchType=model&TG.R=B#!%7B%22action%22%3A%22(And.Hidden.N._.(C.CarType.A._.(C.Manufacturer.BMW._.(C.ModelGroup.3ì‹œë¦¬ì¦ˆ._.Model.3ì‹œë¦¬ì¦ˆ (E90).))))%22%2C%22toggle%22%3A%7B%7D%2C%22layer%22%3A%22%22%2C%22sort%22%3A%22ModifiedDate%22%2C%22page%22%3A1%2C%22limit%22%3A20%7D,,,,Japan
